team,name,position,height,weight,bday,years experience
LAL,Dalton Knecht,SF,6-6,215,4/19/2001,1
LAL,Christian Koloko,C,6-11,225,6/20/2000,2
LAL,Jake LaRavia,PF,6-7,235,11/3/2001,3
LAL,Chris Mañon,SG,6-4,209,12/9/2001,0
LAL,Austin Reaves,SG,6-5,197,5/29/1998,4
LAL,Marcus Smart,SG,6-3,220,3/6/1994,11
LAL,Nick Smith Jr.,SG,6-2,185,4/18/2004,2
LAL,Adou Thiero,SF,6-7,220,5/8/2004,0
LAL,Drew Timme,PF,6-9,235,9/9/2000,1
LAL,Jarred Vanderbilt,PF,6-8,214,4/3/1999,7
LAL,Gabe Vincent,PG,6-2,200,6/14/1996,6
MEM,Santi Aldama,PF,7-0,215,1/10/2001,4
MEM,Kyle Anderson,SF,6-8,230,9/20/1993,11
MEM,Adama-Alpha Bal,SG,6-7,190,12/18/2003,0
MEM,Charles Bassey,C,6-10,230,10/28/2000,4
MEM,Tyler Burton,SF,6-7,215,2/11/2000,0
MEM,Kentavious Caldwell-Pope,SG,6-5,204,2/18/1993,12
MEM,Brandon Clarke,PF,6-8,215,9/19/1996,6
MEM,Walter Clayton,PG,6-4,195,3/6/2003,0
MEM,Cedric Coward,SG,6-5,206,9/11/2003,0
MEM,Zach Edey,C,7-3,305,5/14/2002,1
MEM,Taj Gibson,C,6-9,232,6/24/1985,16
MEM,PJ Hall,C,6-8,245,2/21/2002,1
MEM,Taylor Hendricks,PF,6-9,215,11/22/2003,2
MEM,GG Jackson II,PF,6-9,210,12/17/2004,2
MEM,Jaren Jackson Jr.,C,6-10,242,9/15/1999,7
MEM,DeJon Jarreau,SG,6-5,185,1/23/1998,2
MEM,Ty Jerome,SG,6-5,195,7/8/1997,6
MEM,Christian Koloko,C,6-11,225,6/20/2000,2
MEM,John Konchar,SG,6-5,210,3/22/1996,6
MEM,Jock Landale,C,6-11,255,10/25/1995,4
MEM,Lawson Lovering,C,7-0,245,5/9/2003,0
MEM,Jahmai Mashack,SG,6-4,203,11/10/2002,0
MEM,Ja Morant,PG,6-2,174,8/10/1999,6
MEM,Toby Okani,SG,6-8,210,10/5/2001,0
MEM,Scotty Pippen Jr.,PG,6-2,170,11/10/2000,3
MEM,Olivier-Maxence Prosper,PF,6-7,230,7/3/2002,2
MEM,Rayan Rupert,SG,6-7,205,5/31/2004,2
MEM,Javon Small,PG,6-1,190,12/19/2002,0
MEM,Cam Spencer,SG,6-3,205,4/6/2000,1
MEM,Jaylen Wells,SG,6-7,206,8/26/2003,1
MEM,Dariq Whitehead,SF,6-6,220,8/1/2004,2
MEM,Vince Williams Jr.,PG,6-4,205,8/30/2000,3
MEM,Lucas Williamson,SG,6-4,205,1/28/1999,0
MIA,Bam Adebayo,C,6-9,255,7/18/1997,8
MIA,Simone Fontecchio,SF,6-7,209,12/9/1995,3
MIA,Myron Gardner,SF,6-5,220,5/21/2001,0
